Jurisdiktion,Jahr,Tote,Warnschüsse,Schusswaffengebrauch gegen Sachen,Schusswaffengebrauch gegen Personen,Verletzte,Schusswaffengebrauch gegen Tiere,Selbsttötung,unbeabsichtigte Schussauslösung,
Bund,2023,,47,21,65,33,16791,11,136,
Bund,2022,,48,26,60,41,15584,7,94,
Bund,2021,,60,28,51,31,17331,12,96,
Bund,2020,,49,35,75,41,15652,4,98,
Bund,2019,,44,29,62,30,15433,1,56,
Bund,2018,,49,19,56,34,13711,0,11,
Bund,2017,,61,8,75,39,13400,2,10,
Bund,2016,,32,28,52,28,12656,2,4,
Bund,2015,,48,13,40,22,11884,1,5,
Bund,2014,,65,22,46,31,10157,0,1,
Bund,2013,,41,17,42,20,10879,,,
Bund,2012,,54,14,36,20,10242,,,
Bund,2011,,49,30,36,15,8812,,,
Bund,2010,,59,9,37,23,9336,,,
Bund,2009,,41,24,33,21,8429,,,
Bund,2008,,69,22,37,15,7893,,,
Bund,2007,,53,15,46,23,7074,,,
Bund,2006,,57,6,27,15,5930,,,
Bund,2005,,72,24,37,30,5911,,,
Bund,2004,,72,30,63,23,5769,,,
Bund,2003,,99,27,44,23,5440,,,
Bund,2002,,115,32,42,28,4486,,,
Bund,2001,,116,20,48,26,3950,,,
Bund,2000,,119,27,52,30,3382,,,
Bund,1999,,107,23,53,33,3227,,,
Bund,1998,,117,30,65,42,2539,,,
Bund,1997,,172,46,60,37,2361,,,
Bund,1996,,164,49,79,43,2274,,,
Bund,1995,,221,64,119,52,1939,,,
Bund,1994,,268,84,95,58,1899,,,
Bund,1993,,303,107,101,66,1832,,,
Bund,1992,,315,145,131,67,1630,,,
Bund,1991,,271,101,114,89,1849,,,
Bund,1990,,205,46,70,49,1785,,,
Bund,1989,,102,48,59,41,1702,,,
Bund,1988,,114,45,57,41,1830,,,
Bund,1987,,91,43,57,33,1778,,,
Bund,1986,,107,55,53,32,1962,,,
Bund,1985,,116,53,53,32,1981,,,
Bund,1984,,114,51,35,23,2190,,,
,,,,,,,,,,
Bundespolizei,2020,0,1,0,0,0,101,2,7,
Bundespolizei,2021,0,5,1,0,0,124,3,3,
Bundespolizei,2022,0,4,4,0,1,101,2,8,
Bundespolizei,2023,0,1,1,1,0,103,2,12,
,,,,,,,,,,
BKA,2020,0,0,0,0,0,0,0,0,
BKA,2021,0,0,0,0,0,1,0,1,
BKA,2022,0,0,0,0,0,0,0,0,
BKA,2023,0,0,0,0,0,0,0,1,
,,,,,,,,,,
Bayern ,2020,1,11,2,10,6,2445,,0,
Bayern ,2021,0,16,3,7,6,2639,,0,
Bayern ,2022,2,7,4,9,4,2595,,0,
Bayern ,2023,1,9,3,5,3,2607,,1,
,,,,,,,,,,
Sachsen ,2020,0,3,5,2,0,1000,-,-,
Sachsen ,2021,0,5,2,0,0,938,0,7,
Sachsen ,2022,2,3,0,5,4,974,4,2,
Sachsen ,2023,0,10,0,6,6,782,0,5,
,,,,,,,,,,
Rheinland-Pfalz ,2020,1,1,5,2,1,1558,0,0,
Rheinland-Pfalz ,2021,0,0,0,0,0,1503,0,0,
Rheinland-Pfalz ,2022,0,3,0,5,4,1394,0,0,
Rheinland-Pfalz ,2023,0,3,0,1,1,1426,0,0,
,,,,,,,,,,
Hamburg ,2020,0,0,2,3,1,47,,,
Hamburg ,2021,1,0,1,3,0,45,,,
Hamburg ,2022,0,0,0,0,0,53,,,
Hamburg ,2023,0,3,0,0,0,40,,,
,,,,,,,,,,
Nordrhein-Westfalen ,2020,4,5,3,17,11,1663,0,3,
Nordrhein-Westfalen ,2021,3,10,8,12,9,1928,5,3,
Nordrhein-Westfalen ,2022,4,7,7,26,13,1921,1,4,
Nordrhein-Westfalen ,2023,3,8,13,5,9,2245,0,6,
,,,,,,,,,,
Thüringen ,2020,0,2,0,2,1,312,0,5,
Thüringen ,2021,0,1,1,1,0,367,0,9,
Thüringen ,2022,0,1,1,0,0,315,0,7,
Thüringen ,2023,0,1,0,2,2,337,1,8,
,,,,,,,,,,
Schleswig-Holstein ,2020,0,2,0,1,1,625,0,0,
Schleswig-Holstein ,2021,0,7,3,1,1,738,0,2,
Schleswig-Holstein ,2022,0,3,0,3,1,754,0,0,
Schleswig-Holstein ,2023,0,2,0,0,0,722,0,0,
,,,,,,,,,,
Brandenburg ,2020,0,3,2,0,0,1274,,40,
Brandenburg ,2021,0,1,0,1,1,1236,0,38,
Brandenburg ,2022,0,2,2,2,2,809,0,32,
Brandenburg ,2023,1,2,0,2,0,1065,1,49,
,,,,,,,,,,
Sachsen-Anhalt ,2020,0,3,0,9,2,585,1,9,
Sachsen-Anhalt ,2021,0,1,0,4,1,498,1,9,
Sachsen-Anhalt ,2022,0,0,0,0,0,526,0,8,
Sachsen-Anhalt ,2023,0,1,0,2,0,528,1,6,
,,,,,,,,,,
Berlin ,2020,0,3,1,1,0,103,1,24,
Berlin ,2021,0,4,1,3,3,132,2,17,
Berlin ,2022,1,2,0,7,10,122,0,13,
Berlin ,2023,0,1,0,3,14,212,0,17,
,,,,,,,,,,
Mecklenburg-Vorpommern ,2020,0,2,4,4,3,1376,,3,
Mecklenburg-Vorpommern ,2021,0,6,1,0,0,1655,,2,
Mecklenburg-Vorpommern ,2022,0,5,0,0,0,1688,,2,
Mecklenburg-Vorpommern ,2023,0,0,0,3,1,1417,,5,
,,,,,,,,,,
Niedersachsen ,2020,3,,,6,2,1995,,,
Niedersachsen ,2021,1,,,2,,2522,,,
Niedersachsen ,2022,0,,,2,1,1861,,,
Niedersachsen ,2023,1,,,4,3,2156,,,
,,,,,,,,,,
Baden-Württemberg ,2020,3,3,4,13,8,1174,,,
Baden-Württemberg ,2021,4,3,8,1,1,1365,,,
Baden-Württemberg ,2022,0,7,3,7,5,1486,,,
Baden-Württemberg ,2023,2,8,1,7,2,1564,,,
,,,,,,,,,,
Hessen ,2020,1,0,5,11,4,1180,,1,-
Hessen ,2021,2,6,3,14,3,1296,,3,-
Hessen ,2022,2,1,1,8,4,1195,,4,-
Hessen ,2023,1,3,4,12,3,1237,,6,-
,,,,,,,,,,
Saarland ,2020,0,0,0,0,0,198,,,
Saarland ,2021,0,1,0,0,1,229,,,
Saarland ,2022,0,0,0,0,0,215,,,
Saarland ,2023,0,0,0,0,0,216,,,